,text,chapter,x,y,sent_size
65,"I believe you have never thought of them since you locked them up in the cabinet here.”  “Well, dear, we should never wear them, you know.” Dorothea spoke in a full cordial tone, half caressing, half explanatory.",CHAPTER I.,9.242054,-2.9376354,37
66,"She had her pencil in her hand, and was making tiny side-plans on a margin.",CHAPTER I.,9.777459,1.0402001,15
67,"Celia colored, and looked very grave.",CHAPTER I.,10.232467,-1.5497969,6
68,"“I think, dear, we are wanting in respect to mamma’s memory, to put them by and take no notice of them.",CHAPTER I.,11.234708,3.229985,21
69,"And,” she added, after hesitating a little, with a rising sob of mortification, “necklaces are quite usual now; and Madame Poincon, who was stricter in some things even than you are, used to wear ornaments.",CHAPTER I.,9.824666,-2.0233786,35
70,And Christians generally—surely there are women in heaven now who wore jewels.” Celia was conscious of some mental strength when she really applied herself to argument.,CHAPTER I.,10.1942,-1.6177393,26
71,"“You would like to wear them?” exclaimed Dorothea, an air of astonished discovery animating her whole person with a dramatic action which she had caught from that very Madame Poincon who wore the ornaments.",CHAPTER I.,9.466379,-2.6171606,34
72,"“Of course, then, let us have them out.",CHAPTER I.,9.563355,5.232275,8
73,Why did you not tell me before?,CHAPTER I.,8.968975,5.415996,7
74,"But the keys, the keys!” She pressed her hands against the sides of her head and seemed to despair of her memory.",CHAPTER I.,9.571941,1.3540648,22
75,"“They are here,” said Celia, with whom this explanation had been long meditated and prearranged.",CHAPTER I.,10.275367,-1.6183631,15
76,"“Pray open the large drawer of the cabinet and get out the jewel-box.”  The casket was soon open before them, and the various jewels spread out, making a bright parterre on the table.",CHAPTER I.,9.189622,1.0483459,33
77,"It was no great collection, but a few of the ornaments were really of remarkable beauty, the finest that was obvious at first being a necklace of purple amethysts set in exquisite gold work, and a pearl cross with five brilliants in it.",CHAPTER I.,8.610792,0.82230324,43
78,"Dorothea immediately took up the necklace and fastened it round her sister’s neck, where it fitted almost as closely as a bracelet; but the circle suited the Henrietta-Maria style of Celia’s head and neck, and she could see that it did, in the pier-glass opposite.",CHAPTER I.,9.374629,-2.4210794,45
79,"“There, Celia!",CHAPTER I.,10.215282,-1.4699734,2
80,you can wear that with your Indian muslin.,CHAPTER I.,9.753528,0.14837688,8
81,But this cross you must wear with your dark dresses.”  Celia was trying not to smile with pleasure.,CHAPTER I.,10.143482,-1.6761824,18
82,"“O Dodo, you must keep the cross yourself.”  “No, no, dear, no,” said Dorothea, putting up her hand with careless deprecation.",CHAPTER I.,9.3209715,-3.170802,21
83,"“Yes, indeed you must; it would suit you—in your black dress, now,” said Celia, insistingly.",CHAPTER I.,10.047135,-1.7241168,15
84,"“You might wear that.”  “Not for the world, not for the world.",CHAPTER I.,10.02888,-1.7428228,12
85,A cross is the last thing I would wear as a trinket.” Dorothea shuddered slightly.,CHAPTER I.,9.393283,-2.7792625,15
86,"“Then you will think it wicked in me to wear it,” said Celia, uneasily.",CHAPTER I.,10.081107,-1.7301635,14
87,"“No, dear, no,” said Dorothea, stroking her sister’s cheek.",CHAPTER I.,9.293427,-3.2629685,9
88,"“Souls have complexions too: what will suit one will not suit another.”  “But you might like to keep it for mamma’s sake.”  “No, I have other things of mamma’s—her sandal-wood box which I am so fond of—plenty of things.",CHAPTER I.,11.09916,3.1535897,39
89,"In fact, they are all yours, dear.",CHAPTER I.,8.483348,4.9536266,7
90,We need discuss them no longer.,CHAPTER I.,9.141377,4.207354,6
91,There—take away your property.”  Celia felt a little hurt.,CHAPTER I.,10.267327,-1.6222566,9
92,"There was a strong assumption of superiority in this Puritanic toleration, hardly less trying to the blond flesh of an unenthusiastic sister than a Puritanic persecution.",CHAPTER I.,10.219221,1.1813643,26
93,"“But how can I wear ornaments if you, who are the elder sister, will never wear them?”  “Nay, Celia, that is too much to ask, that I should wear trinkets to keep you in countenance.",CHAPTER I.,10.0011425,-1.7718122,35
94,"If I were to put on such a necklace as that, I should feel as if I had been pirouetting.",CHAPTER I.,9.927192,-1.8682795,20
95,"The world would go round with me, and I should not know how to walk.”  Celia had unclasped the necklace and drawn it off.",CHAPTER I.,10.097038,-1.7887981,24
96,"“It would be a little tight for your neck; something to lie down and hang would suit you better,” she said, with some satisfaction.",CHAPTER I.,10.552749,3.380842,24
97,"The complete unfitness of the necklace from all points of view for Dorothea, made Celia happier in taking it.",CHAPTER I.,9.380288,-2.303367,19
98,"She was opening some ring-boxes, which disclosed a fine emerald with diamonds, and just then the sun passing beyond a cloud sent a bright gleam over the table.",CHAPTER I.,9.279168,1.0049908,28
99,"“How very beautiful these gems are!” said Dorothea, under a new current of feeling, as sudden as the gleam.",CHAPTER I.,9.265886,-2.8967977,19
100,"“It is strange how deeply colors seem to penetrate one, like scent.",CHAPTER I.,9.709266,2.7122798,12
101,I suppose that is the reason why gems are used as spiritual emblems in the Revelation of St. John.,CHAPTER I.,8.497298,1.0356047,19
102,They look like fragments of heaven.,CHAPTER I.,8.710755,1.580088,6
103,"I think that emerald is more beautiful than any of them.”  “And there is a bracelet to match it,” said Celia.",CHAPTER I.,9.536585,-2.0847127,21
104,"“We did not notice this at first.”  “They are lovely,” said Dorothea, slipping the ring and bracelet on her finely turned finger and wrist, and holding them towards the window on a level with her eyes.",CHAPTER I.,9.501057,-2.4450634,36
105,All the while her thought was trying to justify her delight in the colors by merging them in her mystic religious joy.,CHAPTER I.,10.152821,1.207054,22
106,"“You would like those, Dorothea,” said Celia, rather falteringly, beginning to think with wonder that her sister showed some weakness, and also that emeralds would suit her own complexion even better than purple amethysts.",CHAPTER I.,8.967111,-2.3943748,34
107,“You must keep that ring and bracelet—if nothing else.,CHAPTER I.,9.839712,-1.938735,9
108,"But see, these agates are very pretty and quiet.”  “Yes!",CHAPTER I.,9.649175,4.4089646,10
109,"I will keep these—this ring and bracelet,” said Dorothea.",CHAPTER I.,9.557074,-2.3990953,9
110,"Then, letting her hand fall on the table, she said in another tone—“Yet what miserable men find such things, and work at them, and sell them!” She paused again, and Celia thought that her sister was going to renounce the ornaments, as in consistency she ought to do.",CHAPTER I.,10.1323,-1.6416816,48
111,"“Yes, dear, I will keep these,” said Dorothea, decidedly.",CHAPTER I.,9.387455,-3.1931653,9
112,"“But take all the rest away, and the casket.”  She took up her pencil without removing the jewels, and still looking at them.",CHAPTER I.,9.295084,1.142218,23
113,"She thought of often having them by her, to feed her eye at these little fountains of pure color.",CHAPTER I.,9.766671,1.1171129,19
114,"“Shall you wear them in company?” said Celia, who was watching her with real curiosity as to what she would do.",CHAPTER I.,10.132304,-1.6587653,21
115,Dorothea glanced quickly at her sister.,CHAPTER I.,9.131335,-3.1122065,6
116,"Across all her imaginative adornment of those whom she loved, there darted now and then a keen discernment, which was not without a scorching quality.",CHAPTER I.,10.285446,1.145234,25
117,"If Miss Brooke ever attained perfect meekness, it would not be for lack of inward fire.",CHAPTER I.,6.741809,-1.5363387,16
118,"“Perhaps,” she said, rather haughtily.",CHAPTER I.,10.405713,3.8438814,5
119,"“I cannot tell to what level I may sink.”  Celia blushed, and was unhappy: she saw that she had offended her sister, and dared not say even anything pretty about the gift of the ornaments which she put back into the box and carried away.",CHAPTER I.,10.111346,-1.6304833,45
120,"Dorothea too was unhappy, as she went on with her plan-drawing, questioning the purity of her own feeling and speech in the scene which had ended with that little explosion.",CHAPTER I.,8.760134,-3.3584619,30
121,"Celia’s consciousness told her that she had not been at all in the wrong: it was quite natural and justifiable that she should have asked that question, and she repeated to herself that Dorothea was inconsistent: either she should have taken her full share of the jewels, or, after what she had said, she should have renounced them altogether.",CHAPTER I.,9.101209,-2.4720757,59
122,"“I am sure—at least, I trust,” thought Celia, “that the wearing of a necklace will not interfere with my prayers.",CHAPTER I.,10.05733,-1.7876285,20
123,"And I do not see that I should be bound by Dorothea’s opinions now we are going into society, though of course she herself ought to be bound by them.",CHAPTER I.,8.92492,-3.6866446,30
124,"But Dorothea is not always consistent.”  Thus Celia, mutely bending over her tapestry, until she heard her sister calling her.",CHAPTER I.,9.17705,-2.4702063,20
125,"“Here, Kitty, come and look at my plan; I shall think I am a great architect, if I have not got incompatible stairs and fireplaces.”  As Celia bent over the paper, Dorothea put her cheek against her sister’s arm caressingly.",CHAPTER I.,9.348785,-2.9046018,40
126,Celia understood the action.,CHAPTER I.,10.229409,-1.5641448,4
127,"Dorothea saw that she had been in the wrong, and Celia pardoned her.",CHAPTER I.,9.118234,-2.5030122,13
128,"Since they could remember, there had been a mixture of criticism and awe in the attitude of Celia’s mind towards her elder sister.",CHAPTER I.,10.283398,-1.6123933,23
129,The younger had always worn a yoke; but is there any yoked creature without its private opinions?,CHAPTER I.,9.258401,1.8037509,17
130," “‘Dime; no ves aquel caballero que hacia nosotros viene sobre un caballo rucio rodado que trae puesto en la cabeza un yelmo de oro?’ ‘Lo que veo y columbro,’ respondio Sancho, ‘no es sino un hombre sobre un as no pardo como el mio, que trae sobre la cabeza una cosa que relumbra.’ ‘Pues ese es el yelmo de Mambrino,’ dijo Don Quijote.”—CERVANTES.",CHAPTER II.,5.74546,-2.4113135,63
131,"“‘Seest thou not yon cavalier who cometh toward us on a dapple-gray steed, and weareth a golden helmet?’ ‘What I see,’ answered Sancho, ‘is nothing but a man on a gray ass like my own, who carries something shiny on his head.’ ‘Just so,’ answered Don Quixote: ‘and that resplendent object is the helmet of Mambrino.’”  “Sir Humphry Davy?” said Mr. Brooke, over the soup, in his easy smiling way, taking up Sir James Chettam’s remark that he was studying Davy’s Agricultural Chemistry.",CHAPTER II.,9.021581,3.0572503,83
132,"“Well, now, Sir Humphry Davy; I dined with him years ago at Cartwright’s, and Wordsworth was there too—the poet Wordsworth, you know.",CHAPTER II.,8.9944,3.2107613,22
133,Now there was something singular.,CHAPTER II.,8.712433,5.5980506,5
134,"I was at Cambridge when Wordsworth was there, and I never met him—and I dined with him twenty years afterwards at Cartwright’s.",CHAPTER II.,8.761558,3.7320857,22
135,"There’s an oddity in things, now.",CHAPTER II.,8.746897,5.648422,6
136,But Davy was there: he was a poet too.,CHAPTER II.,9.05029,3.1361291,9
137,"Or, as I may say, Wordsworth was poet one, and Davy was poet two.",CHAPTER II.,9.023291,3.111839,14
138,"That was true in every sense, you know.”  Dorothea felt a little more uneasy than usual.",CHAPTER II.,9.029242,-3.4478421,16
139,"In the beginning of dinner, the party being small and the room still, these motes from the mass of a magistrate’s mind fell too noticeably.",CHAPTER II.,7.2914686,2.1236196,25
140,She wondered how a man like Mr. Casaubon would support such triviality.,CHAPTER II.,8.383874,-0.36132044,12
141,"His manners, she thought, were very dignified; the set of his iron-gray hair and his deep eye-sockets made him resemble the portrait of Locke.",CHAPTER II.,8.484139,1.6931319,24
142,He had the spare form and the pale complexion which became a student; as different as possible from the blooming Englishman of the red-whiskered type represented by Sir James Chettam.,CHAPTER II.,8.050472,-1.3906937,30
143,"“I am reading the Agricultural Chemistry,” said this excellent baronet, “because I am going to take one of the farms into my own hands, and see if something cannot be done in setting a good pattern of farming among my tenants.",CHAPTER II.,7.340099,4.3291607,41
144,"Do you approve of that, Miss Brooke?”  “A great mistake, Chettam,” interposed Mr. Brooke, “going into electrifying your land and that kind of thing, and making a parlor of your cow-house.",CHAPTER II.,6.6684475,-1.4353763,31
145,It won’t do.,CHAPTER II.,8.2289505,5.6327443,3
146,I went into science a great deal myself at one time; but I saw it would not do.,CHAPTER II.,7.756746,5.5292077,18
147,It leads to everything; you can let nothing alone.,CHAPTER II.,8.608466,4.9306636,9
148,"No, no—see that your tenants don’t sell their straw, and that kind of thing; and give them draining-tiles, you know.",CHAPTER II.,7.366926,4.5677614,20
149,"But your fancy farming will not do—the most expensive sort of whistle you can buy: you may as well keep a pack of hounds.”  “Surely,” said Dorothea, “it is better to spend money in finding out how men can make the most of the land which supports them all, than in keeping dogs and horses only to gallop over it.",CHAPTER II.,7.0908637,4.632398,60
150,"It is not a sin to make yourself poor in performing experiments for the good of all.”  She spoke with more energy than is expected of so young a lady, but Sir James had appealed to her.",CHAPTER II.,10.130491,-0.5137858,37
151,"He was accustomed to do so, and she had often thought that she could urge him to many good actions when he was her brother-in-law.",CHAPTER II.,10.854187,2.0660517,25
152,"Mr. Casaubon turned his eyes very markedly on Dorothea while she was speaking, and seemed to observe her newly.",CHAPTER II.,8.161551,-2.2903302,19
153,"“Young ladies don’t understand political economy, you know,” said Mr. Brooke, smiling towards Mr. Casaubon.",CHAPTER II.,7.6398787,-0.86588913,15
154,“I remember when we were all reading Adam Smith.,CHAPTER II.,9.742387,3.922584,9
155,"There is a book, now.",CHAPTER II.,6.333015,2.1946056,5
156,"I took in all the new ideas at one time—human perfectibility, now.",CHAPTER II.,8.405519,4.011396,12
157,"But some say, history moves in circles; and that may be very well argued; I have argued it myself.",CHAPTER II.,8.451291,2.618715,19
158,"The fact is, human reason may carry you a little too far—over the hedge, in fact.",CHAPTER II.,8.624725,4.0261173,16
159,It carried me a good way at one time; but I saw it would not do.,CHAPTER II.,8.060387,4.952644,16
160,I pulled up; I pulled up in time.,CHAPTER II.,8.659207,5.2383103,8
161,But not too hard.,CHAPTER II.,8.253226,4.9683447,4
162,I have always been in favor of a little theory: we must have Thought; else we shall be landed back in the dark ages.,CHAPTER II.,8.538054,2.8519495,24
163,"But talking of books, there is Southey’s ‘Peninsular War.’ I am reading that of a morning.",CHAPTER II.,6.1173534,2.1486037,16
164,"You know Southey?”  “No,” said Mr. Casaubon, not keeping pace with Mr. Brooke’s impetuous reason, and thinking of the book only.",CHAPTER II.,7.2529693,-1.0953584,21
165,“I have little leisure for such literature just now.,CHAPTER II.,7.8748674,3.8980222,9
166,"I have been using up my eyesight on old characters lately; the fact is, I want a reader for my evenings; but I am fastidious in voices, and I cannot endure listening to an imperfect reader.",CHAPTER II.,7.8082085,3.2007267,36
167,"It is a misfortune, in some senses: I feed too much on the inward sources; I live too much with the dead.",CHAPTER II.,8.655038,3.4079273,22
168,"My mind is something like the ghost of an ancient, wandering about the world and trying mentally to construct it as it used to be, in spite of ruin and confusing changes.",CHAPTER II.,8.664965,2.8901503,32
169,But I find it necessary to use the utmost caution about my eyesight.”  This was the first time that Mr. Casaubon had spoken at any length.,CHAPTER II.,7.958704,-0.5142079,26
170,"He delivered himself with precision, as if he had been called upon to make a public statement; and the balanced sing-song neatness of his speech, occasionally corresponded to by a movement of his head, was the more conspicuous from its contrast with good Mr. Brooke’s scrappy slovenliness.",CHAPTER II.,8.030164,1.8739293,47
171,"Dorothea said to herself that Mr. Casaubon was the most interesting man she had ever seen, not excepting even Monsieur Liret, the Vaudois clergyman who had given conferences on the history of the Waldenses.",CHAPTER II.,8.238956,-2.3016968,34
172,"To reconstruct a past world, doubtless with a view to the highest purposes of truth—what a work to be in any way present at, to assist in, though only as a lamp-holder!",CHAPTER II.,8.814136,2.161504,32
173,"This elevating thought lifted her above her annoyance at being twitted with her ignorance of political economy, that never-explained science which was thrust as an extinguisher over all her lights.",CHAPTER II.,10.479366,1.2105819,30
174,"“But you are fond of riding, Miss Brooke,” Sir James presently took an opportunity of saying.",CHAPTER II.,7.000737,-1.2541562,16
175,“I should have thought you would enter a little into the pleasures of hunting.,CHAPTER II.,7.619498,4.539917,14
176,I wish you would let me send over a chestnut horse for you to try.,CHAPTER II.,6.5003624,5.167783,15
177,It has been trained for a lady.,CHAPTER II.,10.147445,1.9725049,7
178,I saw you on Saturday cantering over the hill on a nag not worthy of you.,CHAPTER II.,5.3592935,5.224838,16
